Fecha,Departamento_DelitoSexual,Municipio_DelitoSexual,Dia,Hora,Barrio,Zona,Clase_de_sitio,Arma_empleada,Movil Agresor,Movil Victima,Edad,Sexo,Estado_civil,Pais_de_nacimiento,Clase_de_empleado,Profesion,Escolaridad,Codigo_DANE,Delitos_Sexuales
01/01/2018 12:00:00 AM,AMAZONAS,LETICIA (CT),Lunes,12/31/1899 12:00:00 AM,SAN MARTIN,URBANA,ENTIDAD PUBLICA / ESTATAL,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,91001000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,AMAGA,Lunes,12/31/1899 12:00:00 AM,LA GUALI,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,15,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,5030000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,AMALFI,Lunes,12/31/1899 12:00:00 AM,NARANJITO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5031000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,APARTADO,Lunes,12/31/1899 12:00:00 AM,OBRERO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,13,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5045000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,APARTADO,Lunes,12/31/1899 04:30:00 AM,CENTRO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,22,FEMENINO,UNION LIBRE,-,EMPLEADO PARTICULAR,-,SECUNDARIA,5045000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,BELLO,Lunes,12/31/1899 07:45:00 PM,LA ESTACION,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,13,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,SECUNDARIA,5088000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,CALDAS,Lunes,12/31/1899 08:00:00 AM,CENTRO,URBANA,OFICINAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,-,PRIMARIA,5129000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,ENVIGADO,Lunes,12/31/1899 04:50:00 PM,EL PORTAL,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5266000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,GUADALUPE,Lunes,12/31/1899 08:00:00 PM,TENCHE,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,12,FEMENINO,UNION LIBRE,-,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,5315000,1
01/01/2018 12:00:00 AM,ANTIOQUIA,GUARNE,Lunes,12/31/1899 12:00:00 AM,JUAN XXIII,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,-,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,-,PRIMARIA,5318000,1
